Dataset,ObservedProperty,OrigPropertyCode,DataType,StandardCode
VicGovernment,15E2_Al,15E2_Al,L,TRUE
VicGovernment,15E2_CA,15E2_CA,L,TRUE
VicGovernment,15E2_CEC,15E2_CEC,L,TRUE
VicGovernment,15E2_K,15E2_K,L,TRUE
VicGovernment,15E2_MG,15E2_MG,L,TRUE
VicGovernment,15E2_NA,15E2_NA,L,TRUE
VicGovernment,15E3_AEC,15E3_AEC,L,TRUE
VicGovernment,15E3_CA,15E3_CA,L,TRUE
VicGovernment,15E3_CEC,15E3_CEC,L,TRUE
VicGovernment,15E3_K,15E3_K,L,TRUE
VicGovernment,15E3_MG,15E3_MG,L,TRUE
VicGovernment,15E3_NA,15E3_NA,L,TRUE
VicGovernment,15F1_CA,15F1_CA,L,TRUE
VicGovernment,15F1_CEC,15F1_CEC,L,TRUE
VicGovernment,15F1_K,15F1_K,L,TRUE
VicGovernment,15F1_MG,15F1_MG,L,TRUE
VicGovernment,15F1_NA,15F1_NA,L,TRUE
VicGovernment,15F2,15F2,L,TRUE
VicGovernment,15F2_AL,15F2_AL,L,TRUE
VicGovernment,15F3,15F3,L,TRUE
