Organisation,OrigPropertyCode,ObservedProperty,DataType,StandardCode
NSWGovernment,Solumparentmaterial3,Solumparentmaterial3,M,FALSE
NSWGovernment,Status,Status,M,FALSE
NSWGovernment,Statusasriscontrolsection,Statusasriscontrolsection,M,FALSE
NSWGovernment,Statusdentsclassificationdevelopingafter,Statusdentsclassificationdevelopingafter,M,FALSE
NSWGovernment,Statusdentsclassificationnumberofoccurrence,Statusdentsclassificationnumberofoccurrence,M,FALSE
NSWGovernment,Statusdentsclassificationunripe,Statusdentsclassificationunripe,M,FALSE
NSWGovernment,Statushorizoncodehorizon,H_DESIG_MASTER,M,TRUE
NSWGovernment,Statushorizoncodeprefix,Statushorizoncodeprefix,M,FALSE
NSWGovernment,Statushorizoncodesubdivision,h_desig_subdiv,M,TRUE
NSWGovernment,Statushorizonsuffix1,H_DESIG_SUFFIX,M,TRUE
NSWGovernment,Statushorizonsuffix2,Statushorizonsuffix2,M,FALSE
NSWGovernment,Statusimpeding,Statusimpeding,M,FALSE
NSWGovernment,Statussampletaken1,Statussampletaken1,M,FALSE
NSWGovernment,Statussampletaken2,Statussampletaken2,M,FALSE
NSWGovernment,Statussampletaken3,Statussampletaken3,M,FALSE
NSWGovernment,Streambankpresentcondition,Streambankpresentcondition,M,FALSE
NSWGovernment,Streambankseverity,Streambankseverity,M,FALSE
NSWGovernment,Structureartificialaggregates,Structureartificialaggregates,M,FALSE
NSWGovernment,Structuredominantpedshape,str_ped_type,M,TRUE
NSWGovernment,Structuredominantpedsize,STR_PED_SIZE,M,TRUE
NSWGovernment,Structurefabric,FAB_TYPE,M,TRUE
NSWGovernment,Structuregradeofpedality,STR_PED_GRADE,M,TRUE
NSWGovernment,Structurepedporosity,Structurepedporosity,M,FALSE
NSWGovernment,Structuresubdominant1Pedshape,Structuresubdominant1Pedshape,M,FALSE
NSWGovernment,Structuresubdominant1Pedsize,Structuresubdominant1Pedsize,M,FALSE
NSWGovernment,Structuresubdominant2Pedshape,Structuresubdominant2Pedshape,M,FALSE
NSWGovernment,Structuresubdominant2Pedsize,Structuresubdominant2Pedsize,M,FALSE
NSWGovernment,Structurevesicles,Structurevesicles,M,FALSE
NSWGovernment,Substrate1,o_sb_lith,M,TRUE
NSWGovernment,Substrate2,Substrate2,M,FALSE
NSWGovernment,Substrate3,Substrate3,M,FALSE
NSWGovernment,Substratestrength,o_sb_strength,M,TRUE
NSWGovernment,Surfaceconditioncurrent1,scon_stat,M,TRUE
NSWGovernment,Surfaceconditioncurrent2,Surfaceconditioncurrent2,M,FALSE
NSWGovernment,Surfaceconditionexpecteddry1,Surfaceconditionexpecteddry1,M,FALSE
NSWGovernment,Surfaceconditionexpecteddry2,Surfaceconditionexpecteddry2,M,FALSE
NSWGovernment,Surfaceconditionexpectedwet1,Surfaceconditionexpectedwet1,M,FALSE
NSWGovernment,Surfaceconditionexpectedwet2,Surfaceconditionexpectedwet2,M,FALSE
NSWGovernment,Tunnelpresentcondition,o_tunnel_state,M,TRUE
NSWGovernment,Tunnelseverity,o_tunnel_deg,M,TRUE
NSWGovernment,Typeofprofileassessment,s_type,M,TRUE
NSWGovernment,Typeprofile,Typeprofile,M,FALSE
NSWGovernment,Vegetationcrownseparationratio,vstr_dist_percent,M,TRUE
NSWGovernment,Vegetationformation,Vegetationformation,M,FALSE
NSWGovernment,Vegetationgrowthforms1,vstr_growth_form,M,TRUE
NSWGovernment,Vegetationgrowthforms2,Vegetationgrowthforms2,M,FALSE
NSWGovernment,Vegetationgrowthforms3,Vegetationgrowthforms3,M,FALSE
NSWGovernment,Vegetationgrowthforms4,Vegetationgrowthforms4,M,FALSE
NSWGovernment,Vegetationupperstratumheight,vstr_height_class,M,TRUE
NSWGovernment,Wavepresentcondition,Wavepresentcondition,M,FALSE
NSWGovernment,Waveseverity,Waveseverity,M,FALSE
NSWGovernment,Weatheringandalteration1,Weatheringandalteration1,M,FALSE
NSWGovernment,Weatheringandalteration2,Weatheringandalteration2,M,FALSE
NSWGovernment,Windpresentcondition,o_wind_state,M,TRUE
NSWGovernment,Windseverity,o_wind_deg,M,TRUE
NSWGovernment,Worldreferencebasersg,o_uni_soil_class,M,TRUE
NSWGovernment,WRBprincipalqualifierother,WRBprincipalqualifierother,M,FALSE
NSWGovernment,WRBsupplementaryqualifierother,WRBsupplementaryqualifierother,M,FALSE
